feature_name,importance_value,importance_rank,feature_group
away_form_points_last10,0.0036754907270963866,1,team_strength
history_away_matches_count,0.002625209890310861,2,team_strength
home_recent_home_form_last5,0.0014041047775782782,3,recent_form
elo_away_pre,0.0012895507937596973,4,team_strength
home_goals_scored_last5,0.0009839731710601003,5,team_strength
history_home_matches_count,0.0009323420622247373,6,team_strength
away_goals_scored_last5,0.0006408489302785295,7,team_strength
away_form_points_last5,0.0005509651077541348,8,team_strength
elo_diff_pre,0.00042790110880541743,9,team_strength
home_form_points_last10,0.0003679662898324147,10,team_strength
home_goals_conceded_last5,0.00029928739016867506,11,team_strength
odds_away_close,0.0001959706072200603,12,market
odds_away_open,0.0001959706072200603,13,market
away_recent_away_form_last5,0.00019527574901527048,14,recent_form
home_form_points_last5,0.00017403912991424222,15,team_strength
handicap_close_line,0.00015312647197403736,16,market
handicap_open_line,0.00015312647197403736,17,market
away_goal_diff_last5,9.813129784071635e-05,18,team_strength
home_goal_diff_last5,7.760080658632725e-05,19,team_strength
away_goals_conceded_last5,5.844684410383216e-05,20,team_strength
elo_home_pre,3.8638306261458886e-05,21,team_strength
missing_home_history_flag,3.005445902907559e-05,22,other
missing_away_history_flag,3.005445902907559e-05,23,other
rest_days_away,2.215941972324072e-05,24,recent_form
rest_days_home,1.360162657422966e-05,25,recent_form
odds_home_close,9.530493867056697e-06,26,market
odds_home_open,9.530493867056697e-06,27,market
implied_prob_home_close,7.220663691483627e-06,28,market
implied_prob_home_open,7.220663691483627e-06,29,market
implied_prob_away_open,7.22066369144662e-06,30,market
implied_prob_away_close,7.22066369144662e-06,31,market
rest_days_diff,0.0,32,recent_form
recent5_rest_days_diff,0.0,33,recent_form
recent5_hdc_cover_advantage,0.0,34,recent_form
recent10_hdc_cover_advantage,0.0,35,recent_form
recent_hdc_cover_ewm_alpha_0p3_home,0.0,36,recent_form
recent10_xg_diff_mean_away,0.0,37,recent_form
recent10_xg_diff_mean_home,0.0,38,recent_form
recent_hdc_cover_ewm_alpha_0p3_away,0.0,39,recent_form
recent5_hdc_cover_rate_home,0.0,40,recent_form
recent5_xg_diff_mean_home,0.0,41,recent_form
recent10_hdc_cover_rate_home,0.0,42,recent_form
recent5_hdc_cover_rate_away,0.0,43,recent_form
recent10_hdc_cover_rate_away,0.0,44,recent_form
recent5_goal_diff_mean_home,0.0,45,recent_form
recent10_goal_diff_mean_home,0.0,46,recent_form
recent5_goal_diff_mean_away,0.0,47,recent_form
recent10_goal_diff_mean_away,0.0,48,recent_form
h2h_sample_size_last10,0.0,49,h2h
h2h_last10_hdc_cover_rate,0.0,50,h2h
h2h_home_last5_hdc_cover_rate,0.0,51,h2h
h2h_last5_hdc_cover_mean,0.0,52,h2h
h2h_last10_hdc_cover_mean,0.0,53,h2h
h2h_last5_goal_diff_mean,0.0,54,h2h
h2h_last5_xg_diff_mean,0.0,55,h2h
h2h_sample_size_last5,0.0,56,h2h
h2h_last5_hdc_cover_rate,0.0,57,h2h
recent5_xg_diff_mean_away,0.0,58,recent_form
missing_away_ft_goals_flag,0.0,59,team_strength
missing_home_ft_goals_flag,0.0,60,team_strength
handicap_line_movement,0.0,61,market
missing_handicap_line_flag,0.0,62,market
hk_line,0.0,63,hk_vs_consensus
consensus_line,0.0,64,hk_vs_consensus
hk_line_minus_consensus_line,0.0,65,hk_vs_consensus
hk_implied_prob,0.0,66,hk_vs_consensus
hk_implied_prob_side,0.0,67,hk_vs_consensus
consensus_implied_prob,0.0,68,hk_vs_consensus
consensus_implied_prob_side,0.0,69,hk_vs_consensus
hk_minus_consensus_prob,0.0,70,hk_vs_consensus
hk_off_market_flag,0.0,71,hk_vs_consensus
hk_off_market_direction,0.0,72,hk_vs_consensus
hk_off_market_agree_with_model_flag,0.0,73,hk_vs_consensus
rd_pool_available_density,0.0,74,other
rd_combination_available_density,0.0,75,other
rd_combination_suspended_density,0.0,76,other
rd_selection_count_total,0.0,77,other
rd_unique_selection_count,0.0,78,other
rd_market_depth_index,0.0,79,other
missing_odds_flag,0.0,80,market
