provider_match_id,source_market,market_id,competition,competition_ch,kickoff_time_utc,home_team_name,home_team_name_ch,away_team_name,away_team_name_ch,handicap_open_line,handicap_close_line,handicap_line_movement,missing_handicap_line_flag,odds_home_open,odds_away_open,odds_home_close,odds_away_close,implied_prob_home_open,implied_prob_away_open,implied_prob_home_close,implied_prob_away_close,missing_odds_flag,target_handicap_side,home_form_points_last5,home_form_points_last10,away_form_points_last5,away_form_points_last10,home_recent_home_form_last5,away_recent_away_form_last5,home_goals_scored_last5,home_goals_conceded_last5,home_goal_diff_last5,away_goals_scored_last5,away_goals_conceded_last5,away_goal_diff_last5,rest_days_home,rest_days_away,rest_days_diff,recent5_rest_days_diff,recent5_hdc_cover_rate_home,recent10_hdc_cover_rate_home,recent5_hdc_cover_rate_away,recent10_hdc_cover_rate_away,recent5_goal_diff_mean_home,recent10_goal_diff_mean_home,recent5_goal_diff_mean_away,recent10_goal_diff_mean_away,recent5_xg_diff_mean_home,recent5_xg_diff_mean_away,recent10_xg_diff_mean_home,recent10_xg_diff_mean_away,recent_hdc_cover_ewm_alpha_0p3_home,recent_hdc_cover_ewm_alpha_0p3_away,recent5_hdc_cover_advantage,recent10_hdc_cover_advantage,h2h_last5_hdc_cover_rate,h2h_last10_hdc_cover_rate,h2h_home_last5_hdc_cover_rate,h2h_last5_hdc_cover_mean,h2h_last10_hdc_cover_mean,h2h_last5_goal_diff_mean,h2h_last5_xg_diff_mean,h2h_sample_size_last5,h2h_sample_size_last10,elo_home_pre,elo_away_pre,elo_diff_pre,history_home_matches_count,history_away_matches_count,missing_home_history_flag,missing_away_history_flag,missing_home_ft_goals_flag,missing_away_ft_goals_flag,hk_line,consensus_line,hk_line_minus_consensus_line,hk_implied_prob,hk_implied_prob_side,consensus_implied_prob,consensus_implied_prob_side,hk_minus_consensus_prob,hk_off_market_flag,hk_off_market_direction,hk_off_market_agree_with_model_flag,home_cover_probability,away_cover_probability,predicted_side,model_probability,confidence_score,model_name,model_approach,market_feature_variant,original_predicted_side,effective_predicted_side,flip_hkjc_side_enabled,implied_probability,edge,expected_roi
50065107_HDC_4,HKJC_LIKE,ah_ft,Spanish Division 1,西班牙甲組聯賽,2026-04-04T12:00:00+00:00,Real Sociedad,皇家蘇斯達,Levante,利雲特,-1.25,-1.25,0.0,0,2.18,1.62,2.18,1.62,0.4263157894736842,0.5736842105263158,0.4263157894736842,0.5736842105263158,0,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,1,-1.25,,,0.4263157894736842,0.4263157894736842,,,,0,0.0,0,0.43426453529780296,0.565735464702197,away,0.565735464702197,0.1314709294043941,logistic_regression,direct_cover,market,away,away,False,0.5736842105263158,-0.007948745824118753,-0.08350854718244072
50065107_HDC_3,HKJC_LIKE,ah_ft,Spanish Division 1,西班牙甲組聯賽,2026-04-04T12:00:00+00:00,Real Sociedad,皇家蘇斯達,Levante,利雲特,-1.75,-1.75,0.0,0,2.24,1.59,2.24,1.59,0.41514360313315923,0.5848563968668407,0.41514360313315923,0.5848563968668407,0,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,1,-1.75,,,0.41514360313315923,0.41514360313315923,,,,0,0.0,0,0.4317801096484885,0.5682198903515114,away,0.5682198903515114,0.13643978070302287,logistic_regression,direct_cover,market,away,away,False,0.5848563968668407,-0.01663650651532922,-0.09653037434109679
50065107_HDC_1,HKJC_LIKE,ah_ft,Spanish Division 1,西班牙甲組聯賽,2026-04-04T12:00:00+00:00,Real Sociedad,皇家蘇斯達,Levante,利雲特,-1.0,-1.0,0.0,0,2.03,1.72,2.03,1.72,0.4586666666666667,0.5413333333333333,0.4586666666666667,0.5413333333333333,0,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,1,-1.0,,,0.4586666666666667,0.4586666666666667,,,,0,0.0,0,0.44186791451757435,0.5581320854824257,away,0.5581320854824257,0.11626417096485131,logistic_regression,direct_cover,market,away,away,False,0.5413333333333333,0.016798752149092322,-0.04001281297022791
50065107_HDC_2,HKJC_LIKE,ah_ft,Spanish Division 1,西班牙甲組聯賽,2026-04-04T12:00:00+00:00,Real Sociedad,皇家蘇斯達,Levante,利雲特,-0.75,-0.75,0.0,0,1.16,4.65,1.16,4.65,0.8003442340791739,0.19965576592082615,0.8003442340791739,0.19965576592082615,0,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,1,-0.75,,,0.8003442340791739,0.8003442340791739,,,,0,0.0,0,0.3000507231350206,0.6999492768649793,away,0.6999492768649793,0.39989855372995864,logistic_regression,direct_cover,market,away,away,False,0.19965576592082615,0.5002935109441532,2.2547641374221543
50066368_HDC_4,HKJC_LIKE,ah_ft,U20 Women Asian Cup,U20女子亞洲盃,2026-04-04T13:00:00+00:00,Thailand Women U20,泰國女足U20,Vietnam Women U20,越南女足U20,-2.25,-2.25,0.0,0,1.78,1.92,1.78,1.92,0.5189189189189188,0.48108108108108105,0.5189189189189188,0.48108108108108105,0,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,1,-2.25,,,0.5189189189189188,0.5189189189189188,,,,0,0.0,0,0.45782498703153013,0.5421750129684699,away,0.5421750129684699,0.08435002593693985,logistic_regression,direct_cover,market,away,away,False,0.48108108108108105,0.061093931887388875,0.04097602489946223
50066368_HDC_3,HKJC_LIKE,ah_ft,U20 Women Asian Cup,U20女子亞洲盃,2026-04-04T13:00:00+00:00,Thailand Women U20,泰國女足U20,Vietnam Women U20,越南女足U20,-1.25,-1.25,0.0,0,1.16,4.3,1.16,4.3,0.7875457875457875,0.21245421245421242,0.7875457875457875,0.21245421245421242,0,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,1,-1.25,,,0.7875457875457875,0.7875457875457875,,,,0,0.0,0,0.31904000131347826,0.6809599986865218,away,0.6809599986865218,0.3619199973730436,logistic_regression,direct_cover,market,away,away,False,0.21245421245421242,0.4685057862323094,1.9281279943520435
50066368_HDC_1,HKJC_LIKE,ah_ft,U20 Women Asian Cup,U20女子亞洲盃,2026-04-04T13:00:00+00:00,Thailand Women U20,泰國女足U20,Vietnam Women U20,越南女足U20,-0.75,-0.75,0.0,0,1.32,3.05,1.32,3.05,0.6979405034324941,0.3020594965675057,0.6979405034324941,0.3020594965675057,0,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,1,-0.75,,,0.6979405034324941,0.6979405034324941,,,,0,0.0,0,0.3899467069087656,0.6100532930912343,away,0.6100532930912343,0.2201065861824687,logistic_regression,direct_cover,market,away,away,False,0.3020594965675057,0.30799379652372866,0.8606625439282647
50066368_HDC_2,HKJC_LIKE,ah_ft,U20 Women Asian Cup,U20女子亞洲盃,2026-04-04T13:00:00+00:00,Thailand Women U20,泰國女足U20,Vietnam Women U20,越南女足U20,-0.25,-0.25,0.0,0,1.65,2.13,1.65,2.13,0.5634920634920635,0.4365079365079365,0.5634920634920635,0.4365079365079365,0,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,1,-0.25,,,0.5634920634920635,0.5634920634920635,,,,0,0.0,0,0.44217224618378914,0.5578277538162109,away,0.5578277538162109,0.11565550763242172,logistic_regression,direct_cover,market,away,away,False,0.4365079365079365,0.12131981730827435,0.18817311562852912
50065124_HDC_4,HKJC_LIKE,ah_ft,German Division 1,德國甲組聯賽,2026-04-04T13:30:00+00:00,Freiburg,弗賴堡,Bayern Munich,拜仁慕尼黑,0.75,0.75,0.0,0,1.96,1.77,1.96,1.77,0.4745308310991957,0.5254691689008043,0.4745308310991957,0.5254691689008043,0,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,1,0.75,,,0.4745308310991957,0.4745308310991957,,,,0,0.0,0,0.4379045791462626,0.5620954208537374,away,0.5620954208537374,0.12419084170747485,logistic_regression,direct_cover,market,away,away,False,0.5254691689008043,0.03662625195293312,-0.005091105088884773
50065124_HDC_1,HKJC_LIKE,ah_ft,German Division 1,德國甲組聯賽,2026-04-04T13:30:00+00:00,Freiburg,弗賴堡,Bayern Munich,拜仁慕尼黑,1.25,1.25,0.0,0,1.59,2.24,1.59,2.24,0.5848563968668407,0.41514360313315923,0.5848563968668407,0.41514360313315923,0,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,1,1.25,,,0.5848563968668407,0.5848563968668407,,,,0,0.0,0,0.43101582670085187,0.5689841732991481,away,0.5689841732991481,0.13796834659829615,logistic_regression,direct_cover,market,away,away,False,0.41514360313315923,0.15384057016598884,0.27452454819009187
