min_edge_threshold,min_confidence_threshold,max_alerts,policy,fractional_kelly_factor,max_stake_pct,daily_max_exposure_pct,roi,max_drawdown,risk_of_ruin_estimate,total_bets_placed,win_rate,avg_clv_pct,median_clv_pct,pct_positive_clv,clv_score,prediction_cache_hits,prediction_cache_misses,score
0.01,0.5,3,fractional_kelly,0.15,0.02,0.05,0.053954462859564005,0.020000000000000132,1.0422504488772113e-26,5,0.4,0.0,0.0,0.0,-0.2,92,0,-0.06604553714043607
0.01,0.5,2,fractional_kelly,0.15,0.02,0.05,0.053954462859564005,0.020000000000000132,1.0422504488772113e-26,5,0.4,0.0,0.0,0.0,-0.2,92,0,-0.06604553714043607
0.01,0.5,2,fractional_kelly,0.35,0.02,0.05,0.053954462859564005,0.020000000000000132,1.0422504488772113e-26,5,0.4,0.0,0.0,0.0,-0.2,92,0,-0.06604553714043607
0.01,0.5,2,fractional_kelly,0.25,0.02,0.05,0.053954462859564005,0.020000000000000132,1.0422504488772113e-26,5,0.4,0.0,0.0,0.0,-0.2,92,0,-0.06604553714043607
0.01,0.5,2,fractional_kelly,0.5,0.02,0.05,0.053954462859564005,0.020000000000000132,1.0422504488772113e-26,5,0.4,0.0,0.0,0.0,-0.2,92,0,-0.06604553714043607
0.01,0.5,2,vol_target,0.15,0.02,0.05,0.053954462859564005,0.020000000000000132,1.0422504488772113e-26,5,0.4,0.0,0.0,0.0,-0.2,92,0,-0.06604553714043607
0.01,0.5,2,vol_target,0.35,0.02,0.05,0.053954462859564005,0.020000000000000132,1.0422504488772113e-26,5,0.4,0.0,0.0,0.0,-0.2,92,0,-0.06604553714043607
0.01,0.5,2,vol_target,0.25,0.02,0.05,0.053954462859564005,0.020000000000000132,1.0422504488772113e-26,5,0.4,0.0,0.0,0.0,-0.2,92,0,-0.06604553714043607
0.01,0.5,2,vol_target,0.5,0.02,0.05,0.053954462859564005,0.020000000000000132,1.0422504488772113e-26,5,0.4,0.0,0.0,0.0,-0.2,92,0,-0.06604553714043607
0.01,0.5,3,fractional_kelly,0.25,0.02,0.05,0.053954462859564005,0.020000000000000132,1.0422504488772113e-26,5,0.4,0.0,0.0,0.0,-0.2,92,0,-0.06604553714043607
0.01,0.5,3,flat,0.15,0.02,0.03,-0.03166666666666667,0.009954210631096954,1.8940854772740127e-57,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.13664377198221517
0.01,0.5,3,flat,0.15,0.01,0.03,-0.032743402744672995,0.009954210631096954,1.6314753660075959e-57,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.13772050806022149
0.01,0.5,3,fractional_kelly,0.15,0.01,0.03,-0.03505736498761926,0.009999999999999913,2.3093126207178324e-57,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.14005736498761923
0.01,0.5,3,fractional_kelly,0.25,0.01,0.03,-0.03505736498761926,0.009999999999999913,2.3093126207178324e-57,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.14005736498761923
0.01,0.5,2,flat,0.15,0.02,0.05,-0.115,0.011447342225761497,8.890084289699984e-53,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.22072367111288074
0.01,0.5,2,flat,0.15,0.02,0.03,-0.115,0.011447342225761497,8.890084289699984e-53,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.22072367111288074
0.01,0.5,2,flat,0.15,0.01,0.05,-0.11706219886157185,0.0115567008759705,7.013159684398874e-53,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.2228405492995571
0.01,0.5,2,flat,0.15,0.01,0.03,-0.11706219886157185,0.0115567008759705,7.013159684398874e-53,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.2228405492995571
0.01,0.5,2,vol_target,0.15,0.01,0.05,-0.11870536358584842,0.011667507935500039,8.720648826771447e-53,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.22453911755359843
0.01,0.5,2,fractional_kelly,0.5,0.01,0.03,-0.11870536358584842,0.011667507935500039,8.720648826771447e-53,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.22453911755359843
0.01,0.5,2,vol_target,0.25,0.01,0.03,-0.11870536358584842,0.011667507935500039,8.720648826771447e-53,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.22453911755359843
0.01,0.5,2,vol_target,0.5,0.01,0.03,-0.11870536358584842,0.011667507935500039,8.720648826771447e-53,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.22453911755359843
0.01,0.5,2,fractional_kelly,0.15,0.01,0.05,-0.11870536358584842,0.011667507935500039,8.720648826771447e-53,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.22453911755359843
0.01,0.5,2,fractional_kelly,0.35,0.01,0.03,-0.11870536358584842,0.011667507935500039,8.720648826771447e-53,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.22453911755359843
0.01,0.5,2,vol_target,0.35,0.01,0.05,-0.11870536358584842,0.011667507935500039,8.720648826771447e-53,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.22453911755359843
0.01,0.5,2,fractional_kelly,0.5,0.01,0.05,-0.11870536358584842,0.011667507935500039,8.720648826771447e-53,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.22453911755359843
0.01,0.5,2,vol_target,0.15,0.01,0.03,-0.11870536358584842,0.011667507935500039,8.720648826771447e-53,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.22453911755359843
0.01,0.5,2,fractional_kelly,0.15,0.01,0.03,-0.11870536358584842,0.011667507935500039,8.720648826771447e-53,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.22453911755359843
0.01,0.5,2,fractional_kelly,0.25,0.01,0.03,-0.11870536358584842,0.011667507935500039,8.720648826771447e-53,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.22453911755359843
0.01,0.5,2,fractional_kelly,0.25,0.01,0.05,-0.11870536358584842,0.011667507935500039,8.720648826771447e-53,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.22453911755359843
0.01,0.5,2,vol_target,0.25,0.01,0.05,-0.11870536358584842,0.011667507935500039,8.720648826771447e-53,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.22453911755359843
0.01,0.5,2,vol_target,0.5,0.01,0.05,-0.11870536358584842,0.011667507935500039,8.720648826771447e-53,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.22453911755359843
0.01,0.5,2,fractional_kelly,0.35,0.01,0.05,-0.11870536358584842,0.011667507935500039,8.720648826771447e-53,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.22453911755359843
0.01,0.5,2,vol_target,0.35,0.01,0.03,-0.11870536358584842,0.011667507935500039,8.720648826771447e-53,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.22453911755359843
0.01,0.5,3,flat,0.15,0.02,0.05,-0.17,0.016424447541309974,1.402263513858469e-56,7,0.2857142857142857,0.0,0.0,0.0,-0.2,92,0,-0.268212223770655
0.01,0.5,3,flat,0.15,0.01,0.05,-0.17224743961389882,0.016546198190493765,9.64228762459243e-57,7,0.2857142857142857,0.0,0.0,0.0,-0.2,92,0,-0.2705205387091457
0.01,0.5,3,fractional_kelly,0.15,0.01,0.05,-0.17295884442937054,0.01660917039582252,1.1149435630190067e-56,7,0.2857142857142857,0.0,0.0,0.0,-0.2,92,0,-0.2712634296272818
0.01,0.5,3,fractional_kelly,0.25,0.01,0.05,-0.17295884442937054,0.01660917039582252,1.1149435630190067e-56,7,0.2857142857142857,0.0,0.0,0.0,-0.2,92,0,-0.2712634296272818
0.01,0.5,1,fractional_kelly,0.5,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,1,fractional_kelly,0.35,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,1,fractional_kelly,0.15,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,1,fractional_kelly,0.25,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,1,vol_target,0.15,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,1,vol_target,0.5,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,1,vol_target,0.25,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,2,vol_target,0.25,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,2,fractional_kelly,0.5,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,2,vol_target,0.15,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,2,fractional_kelly,0.35,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,2,fractional_kelly,0.25,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,2,fractional_kelly,0.15,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,1,vol_target,0.35,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,2,vol_target,0.35,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,2,vol_target,0.5,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,3,fractional_kelly,0.15,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,3,fractional_kelly,0.25,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,1,flat,0.15,0.02,0.05,-0.318,0.020406131793748755,8.828806946349553e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.43820306589687436
0.01,0.5,1,flat,0.15,0.02,0.03,-0.318,0.020406131793748755,8.828806946349553e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.43820306589687436
0.01,0.5,1,flat,0.15,0.01,0.05,-0.3203504751540034,0.020437854997013824,4.75111778848753e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.44056940265251027
0.01,0.5,1,flat,0.15,0.01,0.03,-0.3203504751540034,0.020437854997013824,4.75111778848753e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.44056940265251027
0.01,0.5,1,fractional_kelly,0.15,0.01,0.03,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,fractional_kelly,0.15,0.01,0.05,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,fractional_kelly,0.25,0.01,0.03,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,fractional_kelly,0.25,0.01,0.05,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,fractional_kelly,0.35,0.01,0.03,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,fractional_kelly,0.35,0.01,0.05,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,fractional_kelly,0.5,0.01,0.03,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,fractional_kelly,0.5,0.01,0.05,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,vol_target,0.5,0.01,0.05,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,vol_target,0.5,0.01,0.03,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,vol_target,0.35,0.01,0.05,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,vol_target,0.35,0.01,0.03,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,vol_target,0.25,0.01,0.05,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,vol_target,0.25,0.01,0.03,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,vol_target,0.15,0.01,0.05,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,vol_target,0.15,0.01,0.03,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,fractional_kelly,0.5,0.02,0.05,-0.323927336005355,0.040925352000000026,5.574245540007889e-26,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.454390012005355
0.01,0.5,1,fractional_kelly,0.35,0.02,0.05,-0.323927336005355,0.040925352000000026,5.574245540007889e-26,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.454390012005355
0.01,0.5,1,fractional_kelly,0.15,0.02,0.05,-0.323927336005355,0.040925352000000026,5.574245540007889e-26,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.454390012005355
0.01,0.5,1,fractional_kelly,0.25,0.02,0.05,-0.323927336005355,0.040925352000000026,5.574245540007889e-26,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.454390012005355
0.01,0.5,1,vol_target,0.25,0.02,0.05,-0.323927336005355,0.040925352000000026,5.574245540007889e-26,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.454390012005355
0.01,0.5,1,vol_target,0.15,0.02,0.05,-0.323927336005355,0.040925352000000026,5.574245540007889e-26,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.454390012005355
0.01,0.5,1,vol_target,0.35,0.02,0.05,-0.323927336005355,0.040925352000000026,5.574245540007889e-26,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.454390012005355
0.01,0.5,1,vol_target,0.5,0.02,0.05,-0.323927336005355,0.040925352000000026,5.574245540007889e-26,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.454390012005355
