min_edge_threshold,min_confidence_threshold,max_alerts,policy,fractional_kelly_factor,max_stake_pct,daily_max_exposure_pct,roi,max_drawdown,risk_of_ruin_estimate,total_bets_placed,win_rate,avg_clv_pct,median_clv_pct,pct_positive_clv,clv_score,prediction_cache_hits,prediction_cache_misses,score
0.015,0.05,1,fractional_kelly,0.15,0.01,0.03,0.03135727974819868,0.09821271520077,1.4644501863742346e-16,174,0.41954022988505746,0.0,0.0,0.0,-0.2,92,0,-0.07774907785218643
0.01,0.05,1,fractional_kelly,0.15,0.01,0.03,0.03135727974819868,0.09821271520077,1.4644501863742346e-16,174,0.41954022988505746,0.0,0.0,0.0,-0.2,92,0,-0.07774907785218643
0.02,0.05,1,fractional_kelly,0.15,0.01,0.03,0.029520455129496526,0.09821271520077,1.3456023414588545e-16,171,0.4152046783625731,0.0,0.0,0.0,-0.2,92,0,-0.07958590247088856
0.02,0.1,1,fractional_kelly,0.15,0.01,0.03,-0.00062034885763778,0.12409720447276584,3.0017334036178912e-19,134,0.41044776119402987,0.0,0.0,0.0,-0.2,92,0,-0.1226689510940207
0.015,0.1,1,fractional_kelly,0.15,0.01,0.03,-0.00062034885763778,0.12409720447276584,3.0017334036178912e-19,134,0.41044776119402987,0.0,0.0,0.0,-0.2,92,0,-0.1226689510940207
0.01,0.1,1,fractional_kelly,0.15,0.01,0.03,-0.00062034885763778,0.12409720447276584,3.0017334036178912e-19,134,0.41044776119402987,0.0,0.0,0.0,-0.2,92,0,-0.1226689510940207
0.01,0.0,1,fractional_kelly,0.15,0.01,0.03,0.0010762564574214287,0.14795326786419694,3.1755989816242405e-16,195,0.41025641025641024,0.0,0.0,0.0,-0.2,92,0,-0.13290037747467726
0.015,0.0,1,fractional_kelly,0.15,0.01,0.03,0.0010119811567895747,0.14795326786419694,2.9817119444854363e-16,192,0.4114583333333333,0.0,0.0,0.0,-0.2,92,0,-0.1329646527753091
0.02,0.0,1,fractional_kelly,0.15,0.01,0.03,-0.0045712379610288595,0.14795326786419694,2.4875957822159207e-16,187,0.40106951871657753,0.0,0.0,0.0,-0.2,92,0,-0.1385478718931275
0.02,0.1,2,fractional_kelly,0.15,0.01,0.03,-0.06417685566403092,0.10905440973823716,2.987329190648725e-19,145,0.3586206896551724,0.0,0.0,0.0,-0.2,92,0,-0.1787040605331495
0.01,0.1,2,fractional_kelly,0.15,0.01,0.03,-0.06417685566403092,0.10905440973823716,2.987329190648725e-19,145,0.3586206896551724,0.0,0.0,0.0,-0.2,92,0,-0.1787040605331495
0.015,0.1,2,fractional_kelly,0.15,0.01,0.03,-0.06417685566403092,0.10905440973823716,2.987329190648725e-19,145,0.3586206896551724,0.0,0.0,0.0,-0.2,92,0,-0.1787040605331495
0.015,0.05,2,fractional_kelly,0.15,0.01,0.03,-0.08790795919154315,0.1472333786072349,3.3092497777118386e-17,193,0.35233160621761656,0.0,0.0,0.0,-0.2,92,0,-0.22152464849516063
0.01,0.05,2,fractional_kelly,0.15,0.01,0.03,-0.08790795919154315,0.1472333786072349,3.3092497777118386e-17,193,0.35233160621761656,0.0,0.0,0.0,-0.2,92,0,-0.22152464849516063
0.02,0.05,2,fractional_kelly,0.15,0.01,0.03,-0.08978392665336307,0.1483956784715405,3.0814091129886934e-17,190,0.3473684210526316,0.0,0.0,0.0,-0.2,92,0,-0.22398176588913335
0.01,0.0,2,fractional_kelly,0.15,0.01,0.03,-0.1180347489645436,0.2069651585197572,9.335952942928665e-17,220,0.34545454545454546,0.0,0.0,0.0,-0.2,92,0,-0.28151732822442227
0.015,0.0,2,fractional_kelly,0.15,0.01,0.03,-0.1183142591061547,0.2080438492372579,8.905831882367915e-17,217,0.3456221198156682,0.0,0.0,0.0,-0.2,92,0,-0.2823361837247837
0.02,0.0,2,fractional_kelly,0.15,0.01,0.03,-0.12352592889293615,0.21171650007266732,7.67542508003727e-17,212,0.33490566037735847,0.0,0.0,0.0,-0.2,92,0,-0.2893841789292699
