min_edge_threshold,min_confidence_threshold,max_alerts,policy,fractional_kelly_factor,max_stake_pct,daily_max_exposure_pct,roi,max_drawdown,risk_of_ruin_estimate,total_bets_placed,win_rate,avg_clv_pct,median_clv_pct,pct_positive_clv,clv_score,prediction_cache_hits,prediction_cache_misses,score
0.01,0.5,2,flat,0.15,0.01,0.05,-0.11706219886157185,0.0115567008759705,7.013159684398874e-53,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.2228405492995571
0.01,0.5,2,flat,0.15,0.01,0.03,-0.11706219886157185,0.0115567008759705,7.013159684398874e-53,6,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,-0.2228405492995571
0.01,0.5,1,fractional_kelly,0.25,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,1,fractional_kelly,0.15,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,1,vol_target,0.15,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,1,vol_target,0.25,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,1,vol_target,0.35,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,1,vol_target,0.5,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,1,fractional_kelly,0.5,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,1,fractional_kelly,0.35,0.02,0.03,-0.1541284353946434,0.021352400000000032,1.314056936260966e-25,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2848046353946434
0.01,0.5,1,flat,0.15,0.02,0.03,-0.318,0.020406131793748755,8.828806946349553e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.43820306589687436
0.01,0.5,1,flat,0.15,0.02,0.05,-0.318,0.020406131793748755,8.828806946349553e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.43820306589687436
0.01,0.5,1,flat,0.15,0.01,0.03,-0.3203504751540034,0.020437854997013824,4.75111778848753e-51,5,0.2,0.0,0.0,0.0,-0.2,84,8,-0.44056940265251027
0.01,0.5,1,flat,0.15,0.01,0.05,-0.3203504751540034,0.020437854997013824,4.75111778848753e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.44056940265251027
0.01,0.5,1,fractional_kelly,0.15,0.01,0.05,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,fractional_kelly,0.15,0.01,0.03,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,vol_target,0.15,0.01,0.05,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,vol_target,0.15,0.01,0.03,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,fractional_kelly,0.35,0.01,0.05,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,fractional_kelly,0.35,0.01,0.03,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,fractional_kelly,0.25,0.01,0.05,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,fractional_kelly,0.25,0.01,0.03,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,vol_target,0.5,0.01,0.03,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,vol_target,0.5,0.01,0.05,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,vol_target,0.35,0.01,0.03,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,vol_target,0.35,0.01,0.05,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,fractional_kelly,0.5,0.01,0.03,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,fractional_kelly,0.5,0.01,0.05,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,vol_target,0.25,0.01,0.05,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,vol_target,0.25,0.01,0.03,-0.32097761518455187,0.020483159500000087,5.2712075562793597e-51,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.4412191949345519
0.01,0.5,1,fractional_kelly,0.5,0.02,0.05,-0.323927336005355,0.040925352000000026,5.574245540007889e-26,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.454390012005355
0.01,0.5,1,fractional_kelly,0.35,0.02,0.05,-0.323927336005355,0.040925352000000026,5.574245540007889e-26,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.454390012005355
0.01,0.5,1,fractional_kelly,0.15,0.02,0.05,-0.323927336005355,0.040925352000000026,5.574245540007889e-26,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.454390012005355
0.01,0.5,1,fractional_kelly,0.25,0.02,0.05,-0.323927336005355,0.040925352000000026,5.574245540007889e-26,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.454390012005355
