min_edge_threshold,min_confidence_threshold,max_alerts,policy,fractional_kelly_factor,max_stake_pct,daily_max_exposure_pct,roi,max_drawdown,risk_of_ruin_estimate,total_bets_placed,win_rate,avg_clv_pct,median_clv_pct,pct_positive_clv,clv_score,prediction_cache_hits,prediction_cache_misses,score
0.02,0.56,1,fractional_kelly,0.15,0.01,0.03,0.6805048388705977,0.0,1.2862015206046542e-58,2,0.5,0.0,0.0,0.0,-0.2,92,0,0.5405048388705975
0.03,0.56,1,fractional_kelly,0.25,0.01,0.03,0.6805048388705977,0.0,1.2862015206046542e-58,2,0.5,0.0,0.0,0.0,-0.2,92,0,0.5405048388705975
0.03,0.56,1,fractional_kelly,0.15,0.01,0.03,0.6805048388705977,0.0,1.2862015206046542e-58,2,0.5,0.0,0.0,0.0,-0.2,92,0,0.5405048388705975
0.02,0.56,1,fractional_kelly,0.25,0.01,0.03,0.6805048388705977,0.0,1.2862015206046542e-58,2,0.5,0.0,0.0,0.0,-0.2,92,0,0.5405048388705975
0.03,0.56,1,flat,0.15,0.01,0.03,0.68,0.0,9.465867682312483e-59,2,0.5,0.0,0.0,0.0,-0.2,92,0,0.54
0.02,0.56,1,flat,0.15,0.01,0.03,0.68,0.0,9.465867682312483e-59,2,0.5,0.0,0.0,0.0,-0.2,92,0,0.54
0.02,0.56,2,flat,0.15,0.01,0.03,0.2866666666666667,0.004932912391475927,2.3648883146102852e-66,3,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,0.1542002104709287
0.03,0.56,2,flat,0.15,0.01,0.03,0.2866666666666667,0.004932912391475927,2.3648883146102852e-66,3,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,0.1542002104709287
0.03,0.56,2,fractional_kelly,0.15,0.01,0.03,0.28404596796001813,0.005000000000000074,5.894362211530086e-66,3,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,0.15154596796001807
0.03,0.56,2,fractional_kelly,0.25,0.01,0.03,0.28404596796001813,0.005000000000000074,5.894362211530086e-66,3,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,0.15154596796001807
0.02,0.56,2,fractional_kelly,0.15,0.01,0.03,0.28404596796001813,0.005000000000000074,5.894362211530086e-66,3,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,0.15154596796001807
0.02,0.56,2,fractional_kelly,0.25,0.01,0.03,0.28404596796001813,0.005000000000000074,5.894362211530086e-66,3,0.3333333333333333,0.0,0.0,0.0,-0.2,92,0,0.15154596796001807
0.02,0.53,2,fractional_kelly,0.25,0.01,0.03,-0.037561673006483005,0.014950000000000003,6.625034912721857e-62,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.165036673006483
0.02,0.53,2,fractional_kelly,0.15,0.01,0.03,-0.037561673006483005,0.014950000000000003,6.625034912721857e-62,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.165036673006483
0.03,0.53,2,fractional_kelly,0.15,0.01,0.03,-0.037561673006483005,0.014950000000000003,6.625034912721857e-62,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.165036673006483
0.03,0.53,2,fractional_kelly,0.25,0.01,0.03,-0.037561673006483005,0.014950000000000003,6.625034912721857e-62,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.165036673006483
0.03,0.53,1,flat,0.15,0.01,0.03,-0.16,0.01973164956590371,5.395547859260081e-55,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.28986582478295186
0.02,0.53,1,flat,0.15,0.01,0.03,-0.16,0.01973164956590371,5.395547859260081e-55,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.28986582478295186
0.02,0.53,1,fractional_kelly,0.15,0.01,0.03,-0.16236886251036706,0.01990000000000004,1.0604086756973051e-54,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2923188625103671
0.02,0.53,1,fractional_kelly,0.25,0.01,0.03,-0.16236886251036706,0.01990000000000004,1.0604086756973051e-54,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2923188625103671
0.03,0.53,1,fractional_kelly,0.25,0.01,0.03,-0.16236886251036706,0.01990000000000004,1.0604086756973051e-54,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2923188625103671
0.03,0.53,1,fractional_kelly,0.15,0.01,0.03,-0.16236886251036706,0.01990000000000004,1.0604086756973051e-54,4,0.25,0.0,0.0,0.0,-0.2,92,0,-0.2923188625103671
0.02,0.53,2,flat,0.15,0.01,0.03,-0.22778377945824832,0.02465074980268356,4.84551479265688e-60,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.35010915435959006
0.03,0.53,2,flat,0.15,0.01,0.03,-0.22778377945824832,0.02465074980268356,4.84551479265688e-60,5,0.2,0.0,0.0,0.0,-0.2,92,0,-0.35010915435959006
